name_en,name_jp,location,address,lat,lng,opening_hours_Monday,opening_hours_Tuesday,opening_hours_Wednesday,opening_hours_Thursday,opening_hours_Friday,opening_hours_Saturday,opening_hours_Sunday,closing_days,hours_source_url,hours_acquisition_date,annual_visitors,visitor_year,visitor_source_url,visitor_acquisition_date,visitor_remarks,google_maps_reviews,google_maps_rating,tripadvisor_reviews,tripadvisor_rating,twitter_hashtags,tabelog_reviews,tabelog_rating
Okinawa Attraction 34,沖縄の観光地 34,Various Locations,"Address 34, Okinawa",26.34,127.34,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,445617,2023,https://www.visitokinawa.jp/,2025-04-22,,2548,4.3,2699,3.9,1092,0,0.0
Okinawa Attraction 35,沖縄の観光地 35,Various Locations,"Address 35, Okinawa",26.35,127.35,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,90442,2023,https://www.visitokinawa.jp/,2025-04-22,,3900,4.3,400,4.6,164,518,4.1
Okinawa Attraction 36,沖縄の観光地 36,Various Locations,"Address 36, Okinawa",26.36,127.36,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,492131,2023,https://www.visitokinawa.jp/,2025-04-22,,196,4.2,2655,4.6,690,631,4.2
Okinawa Attraction 37,沖縄の観光地 37,Various Locations,"Address 37, Okinawa",26.37,127.37,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,487411,2023,https://www.visitokinawa.jp/,2025-04-22,,3312,4.8,788,4.5,716,524,4.1
Okinawa Attraction 38,沖縄の観光地 38,Various Locations,"Address 38, Okinawa",26.38,127.38,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,450551,2023,https://www.visitokinawa.jp/,2025-04-22,,4283,4.7,499,3.6,141,173,3.1
Okinawa Attraction 39,沖縄の観光地 39,Various Locations,"Address 39, Okinawa",26.39,127.39,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,360105,2023,https://www.visitokinawa.jp/,2025-04-22,,334,3.7,564,4.8,534,506,4.4
Okinawa Attraction 40,沖縄の観光地 40,Various Locations,"Address 40, Okinawa",26.4,127.4,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,278996,2023,https://www.visitokinawa.jp/,2025-04-22,,4808,4.4,2103,4.4,1313,634,4.1
Okinawa Attraction 41,沖縄の観光地 41,Various Locations,"Address 41, Okinawa",26.41,127.41,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,273256,2023,https://www.visitokinawa.jp/,2025-04-22,,4055,4.6,1592,3.5,1240,221,3.3
Okinawa Attraction 42,沖縄の観光地 42,Various Locations,"Address 42, Okinawa",26.42,127.42,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published,297,4.2,2329,3.8,388,0,0.0
Okinawa Attraction 43,沖縄の観光地 43,Various Locations,"Address 43, Okinawa",26.43,127.43,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,105011,2023,https://www.visitokinawa.jp/,2025-04-22,,410,4.6,387,4.5,1961,0,0.0
Okinawa Attraction 44,沖縄の観光地 44,Various Locations,"Address 44, Okinawa",26.44,127.44,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Wednesdays,https://www.visitokinawa.jp/,2025-04-22,191656,2023,https://www.visitokinawa.jp/,2025-04-22,,2887,4.0,1529,4.7,1036,0,0.0
Okinawa Attraction 45,沖縄の観光地 45,Various Locations,"Address 45, Okinawa",26.45,127.45,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,120958,2023,https://www.visitokinawa.jp/,2025-04-22,,4465,4.3,2060,3.6,258,49,4.4
Okinawa Attraction 46,沖縄の観光地 46,Various Locations,"Address 46, Okinawa",26.46,127.46,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,246117,2023,https://www.visitokinawa.jp/,2025-04-22,,1497,4.8,2765,3.9,712,164,4.3
Okinawa Attraction 47,沖縄の観光地 47,Various Locations,"Address 47, Okinawa",26.47,127.47,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,227682,2023,https://www.visitokinawa.jp/,2025-04-22,,1348,4.7,1359,3.9,1478,407,4.6
Okinawa Attraction 48,沖縄の観光地 48,Various Locations,"Address 48, Okinawa",26.48,127.48,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,64299,2023,https://www.visitokinawa.jp/,2025-04-22,,2866,4.3,575,3.7,783,0,0.0
Okinawa Attraction 49,沖縄の観光地 49,Various Locations,"Address 49, Okinawa",26.49,127.49,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,56536,2023,https://www.visitokinawa.jp/,2025-04-22,,635,4.0,1668,3.7,55,717,3.6
Okinawa Attraction 50,沖縄の観光地 50,Various Locations,"Address 50, Okinawa",26.5,127.5,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet",4362,4.3,2131,4.0,346,24,3.2
Okinawa Attraction 51,沖縄の観光地 51,Various Locations,"Address 51, Okinawa",26.51,127.51,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,128611,2023,https://www.visitokinawa.jp/,2025-04-22,,4166,4.2,879,3.7,1654,0,0.0
Okinawa Attraction 52,沖縄の観光地 52,Various Locations,"Address 52, Okinawa",26.52,127.52,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,335188,2023,https://www.visitokinawa.jp/,2025-04-22,,1869,4.6,2497,3.8,1292,304,4.0
Okinawa Attraction 53,沖縄の観光地 53,Various Locations,"Address 53, Okinawa",26.53,127.53,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet",926,4.7,1367,3.7,394,715,4.4
Okinawa Attraction 54,沖縄の観光地 54,Various Locations,"Address 54, Okinawa",26.54,127.54,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers,2891,4.8,119,4.5,595,0,0.0
Okinawa Attraction 55,沖縄の観光地 55,Various Locations,"Address 55, Okinawa",26.55,127.55,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,365876,2023,https://www.visitokinawa.jp/,2025-04-22,,303,4.4,382,4.7,1797,0,0.0
Okinawa Attraction 56,沖縄の観光地 56,Various Locations,"Address 56, Okinawa",26.56,127.56,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,449212,2023,https://www.visitokinawa.jp/,2025-04-22,,2073,4.5,2860,4.8,1579,196,4.7
Okinawa Attraction 57,沖縄の観光地 57,Various Locations,"Address 57, Okinawa",26.57,127.57,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published,968,3.7,2592,4.3,626,388,3.9
Okinawa Attraction 58,沖縄の観光地 58,Various Locations,"Address 58, Okinawa",26.58,127.58,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published,3769,3.6,2421,3.7,851,51,4.7
Okinawa Attraction 59,沖縄の観光地 59,Various Locations,"Address 59, Okinawa",26.59,127.59,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on Wednesdays,https://www.visitokinawa.jp/,2025-04-22,278496,2023,https://www.visitokinawa.jp/,2025-04-22,,1250,3.8,2765,4.6,1400,380,3.9
Okinawa Attraction 60,沖縄の観光地 60,Various Locations,"Address 60, Okinawa",26.6,127.6,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published,2477,4.6,2258,4.2,1867,691,4.6
Okinawa Attraction 61,沖縄の観光地 61,Various Locations,"Address 61, Okinawa",26.61,127.61,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,119808,2023,https://www.visitokinawa.jp/,2025-04-22,,4708,4.2,761,4.1,650,416,4.4
Okinawa Attraction 62,沖縄の観光地 62,Various Locations,"Address 62, Okinawa",26.62,127.62,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,315638,2023,https://www.visitokinawa.jp/,2025-04-22,,1209,4.0,2628,4.1,1276,0,0.0
Okinawa Attraction 63,沖縄の観光地 63,Various Locations,"Address 63, Okinawa",26.63,127.63,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,422920,2023,https://www.visitokinawa.jp/,2025-04-22,,4434,4.7,1966,3.7,1684,670,3.1
Okinawa Attraction 64,沖縄の観光地 64,Various Locations,"Address 64, Okinawa",26.64,127.64,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,125600,2023,https://www.visitokinawa.jp/,2025-04-22,,4657,4.1,2154,4.0,46,390,3.8
Okinawa Attraction 65,沖縄の観光地 65,Various Locations,"Address 65, Okinawa",26.65,127.65,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published,750,3.8,2263,4.8,1291,0,0.0
Okinawa Attraction 66,沖縄の観光地 66,Various Locations,"Address 66, Okinawa",26.66,127.66,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Information restricted for conservation reasons,776,4.4,1891,4.5,167,295,3.5
Okinawa Attraction 67,沖縄の観光地 67,Various Locations,"Address 67, Okinawa",26.67,127.67,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,126635,2023,https://www.visitokinawa.jp/,2025-04-22,,4399,3.6,2009,4.1,803,738,4.4
Okinawa Attraction 68,沖縄の観光地 68,Various Locations,"Address 68, Okinawa",26.68,127.68,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,466234,2023,https://www.visitokinawa.jp/,2025-04-22,,3409,3.9,1317,4.2,627,408,3.9
Okinawa Attraction 69,沖縄の観光地 69,Various Locations,"Address 69, Okinawa",26.69,127.69,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available,954,4.5,1844,3.5,572,75,4.7
Okinawa Attraction 70,沖縄の観光地 70,Various Locations,"Address 70, Okinawa",26.7,127.7,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published,1482,3.9,211,4.5,1341,225,3.5
Okinawa Attraction 71,沖縄の観光地 71,Various Locations,"Address 71, Okinawa",26.71,127.71,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,193827,2023,https://www.visitokinawa.jp/,2025-04-22,,2836,4.6,1871,4.1,1990,0,0.0
Okinawa Attraction 72,沖縄の観光地 72,Various Locations,"Address 72, Okinawa",26.72,127.72,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,129972,2023,https://www.visitokinawa.jp/,2025-04-22,,4880,4.7,593,3.7,1692,0,0.0
Okinawa Attraction 73,沖縄の観光地 73,Various Locations,"Address 73, Okinawa",26.73,127.73,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available,2140,4.0,281,4.6,424,47,3.6
