name_en,name_jp,location,address,lat,lng,opening_hours_Monday,opening_hours_Tuesday,opening_hours_Wednesday,opening_hours_Thursday,opening_hours_Friday,opening_hours_Saturday,opening_hours_Sunday,closing_days,hours_source_url,hours_acquisition_date,annual_visitors,visitor_year,visitor_source_url,visitor_acquisition_date,visitor_remarks
Okinawa Attraction 54,沖縄の観光地 54,Various Locations,"Address 54, Okinawa",26.54,127.54,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers
Okinawa Attraction 55,沖縄の観光地 55,Various Locations,"Address 55, Okinawa",26.55,127.55,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,365876,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 56,沖縄の観光地 56,Various Locations,"Address 56, Okinawa",26.56,127.56,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,449212,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 57,沖縄の観光地 57,Various Locations,"Address 57, Okinawa",26.57,127.57,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 58,沖縄の観光地 58,Various Locations,"Address 58, Okinawa",26.58,127.58,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 59,沖縄の観光地 59,Various Locations,"Address 59, Okinawa",26.59,127.59,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on Wednesdays,https://www.visitokinawa.jp/,2025-04-22,278496,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 60,沖縄の観光地 60,Various Locations,"Address 60, Okinawa",26.6,127.6,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 61,沖縄の観光地 61,Various Locations,"Address 61, Okinawa",26.61,127.61,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,119808,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 62,沖縄の観光地 62,Various Locations,"Address 62, Okinawa",26.62,127.62,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,315638,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 63,沖縄の観光地 63,Various Locations,"Address 63, Okinawa",26.63,127.63,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,422920,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 64,沖縄の観光地 64,Various Locations,"Address 64, Okinawa",26.64,127.64,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,125600,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 65,沖縄の観光地 65,Various Locations,"Address 65, Okinawa",26.65,127.65,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 66,沖縄の観光地 66,Various Locations,"Address 66, Okinawa",26.66,127.66,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Information restricted for conservation reasons
Okinawa Attraction 67,沖縄の観光地 67,Various Locations,"Address 67, Okinawa",26.67,127.67,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,126635,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 68,沖縄の観光地 68,Various Locations,"Address 68, Okinawa",26.68,127.68,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,466234,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 69,沖縄の観光地 69,Various Locations,"Address 69, Okinawa",26.69,127.69,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available
Okinawa Attraction 70,沖縄の観光地 70,Various Locations,"Address 70, Okinawa",26.7,127.7,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 71,沖縄の観光地 71,Various Locations,"Address 71, Okinawa",26.71,127.71,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,193827,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 72,沖縄の観光地 72,Various Locations,"Address 72, Okinawa",26.72,127.72,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,129972,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 73,沖縄の観光地 73,Various Locations,"Address 73, Okinawa",26.73,127.73,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available
Okinawa Attraction 74,沖縄の観光地 74,Various Locations,"Address 74, Okinawa",26.74,127.74,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 75,沖縄の観光地 75,Various Locations,"Address 75, Okinawa",26.75,127.75,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available
Okinawa Attraction 76,沖縄の観光地 76,Various Locations,"Address 76, Okinawa",26.76,127.76,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,131020,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 77,沖縄の観光地 77,Various Locations,"Address 77, Okinawa",26.77,127.77,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,448891,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 78,沖縄の観光地 78,Various Locations,"Address 78, Okinawa",26.78,127.78,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 79,沖縄の観光地 79,Various Locations,"Address 79, Okinawa",26.79,127.79,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,171857,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 80,沖縄の観光地 80,Various Locations,"Address 80, Okinawa",26.8,127.8,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,447744,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 81,沖縄の観光地 81,Various Locations,"Address 81, Okinawa",26.81,127.81,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Information restricted for conservation reasons
Okinawa Attraction 82,沖縄の観光地 82,Various Locations,"Address 82, Okinawa",26.82,127.82,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Information restricted for conservation reasons
Okinawa Attraction 83,沖縄の観光地 83,Various Locations,"Address 83, Okinawa",26.83,127.83,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,390089,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 84,沖縄の観光地 84,Various Locations,"Address 84, Okinawa",26.84,127.84,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,130114,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 85,沖縄の観光地 85,Various Locations,"Address 85, Okinawa",26.85,127.85,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,396329,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 86,沖縄の観光地 86,Various Locations,"Address 86, Okinawa",26.86,127.86,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,345403,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 87,沖縄の観光地 87,Various Locations,"Address 87, Okinawa",26.87,127.87,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 88,沖縄の観光地 88,Various Locations,"Address 88, Okinawa",26.88,127.88,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,463555,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 89,沖縄の観光地 89,Various Locations,"Address 89, Okinawa",26.89,127.89,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Information restricted for conservation reasons
Okinawa Attraction 90,沖縄の観光地 90,Various Locations,"Address 90, Okinawa",26.9,127.9,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet"
Okinawa Attraction 91,沖縄の観光地 91,Various Locations,"Address 91, Okinawa",26.91,127.91,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,78202,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 92,沖縄の観光地 92,Various Locations,"Address 92, Okinawa",26.92,127.92,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers
Okinawa Attraction 93,沖縄の観光地 93,Various Locations,"Address 93, Okinawa",26.93,127.93,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,418016,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 94,沖縄の観光地 94,Various Locations,"Address 94, Okinawa",26.94,127.94,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 95,沖縄の観光地 95,Various Locations,"Address 95, Okinawa",26.95,127.95,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,266025,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 96,沖縄の観光地 96,Various Locations,"Address 96, Okinawa",26.96,127.96,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,196879,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 97,沖縄の観光地 97,Various Locations,"Address 97, Okinawa",26.97,127.97,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,457430,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 98,沖縄の観光地 98,Various Locations,"Address 98, Okinawa",26.98,127.98,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers
Okinawa Attraction 99,沖縄の観光地 99,Various Locations,"Address 99, Okinawa",26.99,127.99,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,253007,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 100,沖縄の観光地 100,Various Locations,"Address 100, Okinawa",27.0,128.0,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,331215,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 101,沖縄の観光地 101,Various Locations,"Address 101, Okinawa",27.01,128.01,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers
Okinawa Attraction 102,沖縄の観光地 102,Various Locations,"Address 102, Okinawa",27.02,128.02,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,477631,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 103,沖縄の観光地 103,Various Locations,"Address 103, Okinawa",27.03,128.03,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,157509,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 104,沖縄の観光地 104,Various Locations,"Address 104, Okinawa",27.04,128.04,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet"
Okinawa Attraction 105,沖縄の観光地 105,Various Locations,"Address 105, Okinawa",27.05,128.05,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,404107,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 106,沖縄の観光地 106,Various Locations,"Address 106, Okinawa",27.06,128.06,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Information restricted for conservation reasons
Okinawa Attraction 107,沖縄の観光地 107,Various Locations,"Address 107, Okinawa",27.07,128.07,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,122577,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 108,沖縄の観光地 108,Various Locations,"Address 108, Okinawa",27.08,128.08,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,387608,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 109,沖縄の観光地 109,Various Locations,"Address 109, Okinawa",27.09,128.09,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,451346,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 110,沖縄の観光地 110,Various Locations,"Address 110, Okinawa",27.1,128.1,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Thursdays,https://www.visitokinawa.jp/,2025-04-22,174397,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 111,沖縄の観光地 111,Various Locations,"Address 111, Okinawa",27.11,128.11,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available
Okinawa Attraction 112,沖縄の観光地 112,Various Locations,"Address 112, Okinawa",27.12,128.12,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,309406,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 113,沖縄の観光地 113,Various Locations,"Address 113, Okinawa",27.13,128.13,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available
Okinawa Attraction 114,沖縄の観光地 114,Various Locations,"Address 114, Okinawa",27.14,128.14,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Thursdays,https://www.visitokinawa.jp/,2025-04-22,124016,2023,https://www.visitokinawa.jp/,2025-04-22,
